,close,Search Trends,DayOfWeek
2020-01-16 16:00:00,,64.0,3
2020-01-16 17:00:00,,66.0,3
2020-01-16 18:00:00,,69.0,3
2020-01-16 19:00:00,,71.0,3
2020-01-16 20:00:00,,72.0,3
2020-01-16 21:00:00,,76.0,3
2020-01-16 22:00:00,,86.0,3
2020-01-16 23:00:00,,94.0,3
2020-01-17 00:00:00,,96.0,3
2020-01-17 01:00:00,,91.0,3
2020-01-17 02:00:00,,86.0,3
2020-01-17 03:00:00,,72.0,3
2020-01-17 04:00:00,,51.0,3
2020-01-17 05:00:00,,33.0,3
2020-01-17 06:00:00,,19.0,3
2020-01-17 07:00:00,,10.0,3
2020-01-17 08:00:00,,7.0,3
2020-01-17 09:00:00,665.57,8.0,3
2020-01-17 10:00:00,668.56,15.0,3
2020-01-17 11:00:00,665.67,25.0,3
2020-01-17 12:00:00,669.75,39.0,3
2020-01-17 13:00:00,671.735,48.0,3
2020-01-17 14:00:00,672.14,56.0,3
2020-01-17 15:00:00,672.39,59.0,3
2020-01-17 16:00:00,,61.0,3
2020-01-17 17:00:00,,65.0,3
2020-01-17 18:00:00,,67.0,3
2020-01-17 19:00:00,,67.0,3
2020-01-17 20:00:00,,69.0,3
2020-01-17 21:00:00,,70.0,3
2020-01-17 22:00:00,,77.0,3
2020-01-17 23:00:00,,87.0,3
2020-01-18 00:00:00,,87.0,3
2020-01-18 01:00:00,,83.0,3
2020-01-18 02:00:00,,78.0,3
2020-01-18 03:00:00,,68.0,3
2020-01-18 04:00:00,,54.0,3
2020-01-18 05:00:00,,37.0,3
2020-01-18 06:00:00,,23.0,3
2020-01-18 07:00:00,,13.0,3
2020-01-18 08:00:00,,9.0,3
2020-01-18 09:00:00,,7.0,3
2020-01-18 10:00:00,,12.0,3
2020-01-18 11:00:00,,21.0,3
2020-01-18 12:00:00,,31.0,3
2020-01-18 13:00:00,,42.0,3
2020-01-18 14:00:00,,47.0,3
2020-01-18 15:00:00,,51.0,3
2020-01-18 16:00:00,,51.0,3
2020-01-18 17:00:00,,52.0,3
2020-01-18 18:00:00,,54.0,3
2020-01-18 19:00:00,,54.0,3
2020-01-18 20:00:00,,55.0,3
2020-01-18 21:00:00,,61.0,3
2020-01-18 22:00:00,,67.0,3
2020-01-18 23:00:00,,72.0,3
2020-01-19 00:00:00,,77.0,3
2020-01-19 01:00:00,,73.0,3
2020-01-19 02:00:00,,70.0,3
2020-01-19 03:00:00,,64.0,3
2020-01-19 04:00:00,,50.0,3
2020-01-19 05:00:00,,36.0,3
2020-01-19 06:00:00,,24.0,3
2020-01-19 07:00:00,,14.0,3
2020-01-19 08:00:00,,8.0,3
2020-01-19 09:00:00,,6.0,3
2020-01-19 10:00:00,,9.0,3
2020-01-19 11:00:00,,14.0,3
2020-01-19 12:00:00,,21.0,3
2020-01-19 13:00:00,,32.0,3
2020-01-19 14:00:00,,39.0,3
2020-01-19 15:00:00,,44.0,3
2020-01-19 16:00:00,,44.0,3
2020-01-19 17:00:00,,46.0,3
2020-01-19 18:00:00,,49.0,3
2020-01-19 19:00:00,,50.0,3
2020-01-19 20:00:00,,53.0,3
2020-01-19 21:00:00,,59.0,3
2020-01-19 22:00:00,,66.0,3
2020-01-19 23:00:00,,77.0,3
2020-01-20 00:00:00,,81.0,4
2020-01-20 01:00:00,,79.0,4
2020-01-20 02:00:00,,77.0,4
2020-01-20 03:00:00,,66.0,4
2020-01-20 04:00:00,,51.0,4
2020-01-20 05:00:00,,31.0,4
2020-01-20 06:00:00,,18.0,4
2020-01-20 07:00:00,,10.0,4
2020-01-20 08:00:00,,7.0,4
2020-01-20 09:00:00,,8.0,4
2020-01-20 10:00:00,,12.0,4
2020-01-20 11:00:00,,23.0,4
2020-01-20 12:00:00,,39.0,4
2020-01-20 13:00:00,,51.0,4
2020-01-20 14:00:00,,59.0,4
2020-01-20 15:00:00,,65.0,4
2020-01-20 16:00:00,,65.0,4
2020-01-20 17:00:00,,69.0,4
2020-01-20 18:00:00,,72.0,4
2020-01-20 19:00:00,,77.0,4
2020-01-20 20:00:00,,78.0,4
2020-01-20 21:00:00,,82.0,4
2020-01-20 22:00:00,,92.0,4
2020-01-20 23:00:00,,100.0,4
2020-01-21 00:00:00,,98.0,4
2020-01-21 01:00:00,,93.0,4
2020-01-21 02:00:00,,85.0,4
2020-01-21 03:00:00,,72.0,4
2020-01-21 04:00:00,,53.0,4
2020-01-21 05:00:00,,32.0,4
2020-01-21 06:00:00,,18.0,4
2020-01-21 07:00:00,,10.0,4
2020-01-21 08:00:00,,7.0,4
2020-01-21 09:00:00,658.3,9.0,4
2020-01-21 10:00:00,649.84,15.0,4
2020-01-21 11:00:00,658.5,26.0,4
2020-01-21 12:00:00,654.75,41.0,4
2020-01-21 13:00:00,652.835,52.0,4
2020-01-21 14:00:00,656.105,60.0,4
2020-01-21 15:00:00,658.0,64.0,4
2020-01-21 16:00:00,,64.0,4
2020-01-21 17:00:00,,69.0,4
2020-01-21 18:00:00,,72.0,4
2020-01-21 19:00:00,,72.0,4
2020-01-21 20:00:00,,71.0,4
2020-01-21 21:00:00,,77.0,4
2020-01-21 22:00:00,,86.0,4
2020-01-21 23:00:00,,96.0,4
2020-01-22 00:00:00,,94.0,4
2020-01-22 01:00:00,,97.0,4
2020-01-22 02:00:00,,89.0,4
2020-01-22 03:00:00,,77.0,4
2020-01-22 04:00:00,,56.0,4
2020-01-22 05:00:00,,34.0,4
2020-01-22 06:00:00,,19.0,4
2020-01-22 07:00:00,,11.0,4
2020-01-22 08:00:00,,8.0,4
2020-01-22 09:00:00,676.11,10.0,4
2020-01-22 10:00:00,675.015,16.0,4
2020-01-22 11:00:00,672.65,28.0,4
2020-01-22 12:00:00,666.68,43.0,4
2020-01-22 13:00:00,664.13,54.0,4
2020-01-22 14:00:00,665.155,61.0,4
2020-01-22 15:00:00,663.13,64.0,4
2020-01-22 16:00:00,,66.0,4
2020-01-22 17:00:00,,69.0,4
2020-01-22 18:00:00,,71.0,4
2020-01-22 19:00:00,,72.0,4
2020-01-22 20:00:00,,70.0,4
2020-01-22 21:00:00,,75.0,4
2020-01-22 22:00:00,,85.0,4
2020-01-22 23:00:00,,91.0,4
2020-01-23 00:00:00,,93.0,4
2020-01-23 01:00:00,,90.0,4
2020-01-23 02:00:00,,85.0,4
2020-01-23 03:00:00,,70.0,4
2020-01-23 04:00:00,,53.0,4
2020-01-23 05:00:00,,32.0,4
2020-01-23 06:00:00,,19.0,4
2020-01-23 07:00:00,,10.0,4
2020-01-23 08:00:00,,8.0,4
2020-01-23 09:00:00,657.24,9.0,4
2020-01-23 10:00:00,659.99,16.0,4
2020-01-23 11:00:00,667.735,28.0,4
2020-01-23 12:00:00,666.17,42.0,4
2020-01-23 13:00:00,665.745,49.0,4
2020-01-23 14:00:00,661.46,58.0,4
2020-01-23 15:00:00,663.63,63.0,4
2020-01-23 16:00:00,,62.0,4
2020-01-23 17:00:00,,67.0,4
2020-01-23 18:00:00,,70.0,4
2020-01-23 19:00:00,,72.0,4
2020-01-23 20:00:00,,74.0,4
2020-01-23 21:00:00,,75.0,4
2020-01-23 22:00:00,,85.0,4
2020-01-23 23:00:00,,92.0,4
2020-01-24 00:00:00,,91.0,4
2020-01-24 01:00:00,,89.0,4
2020-01-24 02:00:00,,86.0,4
2020-01-24 03:00:00,,73.0,4
2020-01-24 04:00:00,,56.0,4
2020-01-24 05:00:00,,33.0,4
2020-01-24 06:00:00,,19.0,4
2020-01-24 07:00:00,,10.0,4
2020-01-24 08:00:00,,7.0,4
2020-01-24 09:00:00,672.99,8.0,4
2020-01-24 10:00:00,667.605,14.0,4
